Parameter Description,Epoch 1,Epoch 2,Epoch 3,Epoch 4,Epoch 5,Epoch 6,Epoch 7,Epoch 8,Epoch 9,Epoch 10,Epoch 11,Epoch 12,Epoch 13,Epoch 14,Epoch 15,Epoch 16,Epoch 17,Epoch 18,Epoch 19,Epoch 20,Epoch 21,Epoch 22,Epoch 23,Epoch 24,Epoch 25,Epoch 26,Epoch 27,Epoch 28,Epoch 29,Epoch 30,Epoch 31,Epoch 32,Epoch 33,Epoch 34,Epoch 35,Epoch 36,Epoch 37,Epoch 38,Epoch 39,Epoch 40,Epoch 41,Epoch 42,Epoch 43,Epoch 44,Epoch 45,Epoch 46,Epoch 47,Epoch 48,Epoch 49,Epoch 50,Epoch 51,Epoch 52,Epoch 53,Epoch 54,Epoch 55,Epoch 56,Epoch 57,Epoch 58,Epoch 59,Epoch 60,Epoch 61,Epoch 62,Epoch 63,Epoch 64,Epoch 65,Epoch 66,Epoch 67,Epoch 68,Epoch 69,Epoch 70,Epoch 71,Epoch 72,Epoch 73,Epoch 74,Epoch 75,Epoch 76,Epoch 77,Epoch 78,Epoch 79,Epoch 80,Epoch 81,Epoch 82,Epoch 83,Epoch 84,Epoch 85,Epoch 86,Epoch 87,Epoch 88,Epoch 89,Epoch 90,Epoch 91,Epoch 92,Epoch 93,Epoch 94,Epoch 95,Epoch 96,Epoch 97,Epoch 98,Epoch 99,Epoch 100
LR: 0.0005 KP: 0.5,0.248526077119,0.38798185941,0.471201813681,0.553287981751,0.591836734775,0.64013605426,0.665532879656,0.689795918719,0.709523809848,0.721088435428,0.740589569269,0.753287982211,0.76734693883,0.772789115727,0.775736961208,0.792063492145,0.79070294817,0.797052154546,0.800680272163,0.809523809875,0.810657596183,0.816553287766,0.82018140595,0.816553288279,0.813151927221,0.820634920689,0.825396825181,0.830612245222,0.83015872997,0.834467119965,0.838321995222,0.834693877875,0.841950113433,0.846258503212,0.841496598423,0.838548752916,0.839229025268,0.847619047943,0.848526077449,0.847845805016,0.851247165587,0.852154195336,0.85555555561,0.855328797997,0.849206349531,0.855555555934,0.853741496355,0.853968254049,0.862811791167,0.851020408217,0.854421768518,0.864625850637,0.857596372179,0.863038548807,0.868480725407,0.860090703272,0.862585033824,0.863718821159,0.87482993227,0.854648525888,0.86893424066,0.865532880116,0.858503401685,0.869841269652,0.858049886405,0.872108843835,0.869841269868,0.869614512526,0.857142857467,0.863038548537,0.859183673496,0.861451246949,0.870294784905,0.870068026995,0.871655328636,0.870294784608,0.866666666748,0.864172335655,0.873922902251,0.865759637513,0.872108843348,0.875736961235,0.87097505677,0.875283446766,0.865986394882,0.86916099803,0.873469388079,0.874376417531,0.868707483318,0.859637187992,0.872789115944,0.875283447009,0.867800453298,0.875510204406,0.869614512526,0.877551020706,0.874149659891,0.876190475974,0.877097505696,0.868707483318
LR: 0.0005 KP: 0.6,0.362131519301,0.541950113027,0.641496598504,0.686167800562,0.718820861813,0.747165533231,0.771428571726,0.787981859221,0.815419501188,0.813378684618,0.823582766494,0.834467120506,0.840362812116,0.840136054476,0.846485260555,0.860090703272,0.860090702759,0.856009070079,0.859410430893,0.864625850151,0.857823129035,0.870068027265,0.864172335925,0.879818594158,0.872108843564,0.885487528372,0.868707483047,0.86916099803,0.874829932,0.876190476272,0.882539682323,0.886167800481,0.881179138619,0.888888888916,0.885941043111,0.891156462369,0.885487528399,0.89637188214,0.878458049643,0.885487528128,0.890022675764,0.897278911321,0.891836734451,0.8925170071,0.891836734451,0.898412698196,0.895011337652,0.897278911321,0.898185941043,0.896825396852,0.893877550804,0.894557823427,0.895918367374,0.894557823427,0.899319727648,0.893877550777,0.897505668691,0.89841269844,0.893877551291,0.905668933997,0.897959183701,0.904761904789,0.901814059227,0.890022675521,0.902267573723,0.909070294541,0.905895691934,0.902494331093,0.902947846075,0.90408163268,0.902267573723,0.899773242928,0.896598639726,0.899319727891,0.911111111381,0.906349206376,0.908390022703,0.912244897716,0.909070294812,0.907709750864,0.897278911592,0.907709750864,0.906575964016,0.903628117941,0.903174603202,0.911564626121,0.908163265333,0.901587301614,0.90408163241,0.901814058714,0.90612244925,0.904988662159,0.903174603445,0.900000000297,0.903401360544,0.909070294812,0.908390022973,0.910884354039,0.913378684807,0.908163265306
LR: 0.0005 KP: 0.7,0.492970521164,0.653741496409,0.725396825721,0.771201814113,0.789795918151,0.803401360382,0.819501134111,0.828571428896,0.838775510015,0.85147392293,0.856689342431,0.862131519545,0.861451247517,0.868027211209,0.875283446523,0.880725623907,0.879591836762,0.88616780021,0.885941043138,0.885941043084,0.890929705486,0.890702947873,0.882993197306,0.890022675764,0.895238095022,0.89274376447,0.894557823427,0.897732426574,0.897505668961,0.8981859408,0.897278911321,0.897278911592,0.908390022432,0.906802720845,0.914058957213,0.897959183457,0.900907029505,0.902494331363,0.907482992954,0.901360544245,0.912471655113,0.912018140617,0.90997732429,0.910884353525,0.91587301617,0.902947845832,0.917006803018,0.908390023,0.918820861435,0.914512471682,0.925170067811,0.90997732429,0.903628117698,0.919047619075,0.917687074857,0.922902494601,0.917687074587,0.917913832227,0.924036281179,0.910204081389,0.921315193014,0.919501133544,0.923129251971,0.922222221979,0.915646258774,0.908390022973,0.919501133544,0.911337868751,0.925396825154,0.923582766467,0.911791382977,0.917006802775,0.912471655626,0.910884353769,0.92176870724,0.919274376174,0.921088435131,0.92199546488,0.921995464636,0.919727890913,0.919047619318,0.917006802991,0.925850340406,0.922222222493,0.925850340163,0.920634920905,0.923356009124,0.925623583064,0.922448979376,0.930839002295,0.919047618804,0.918367346966,0.919954648526,0.921088435401,0.923809523566,0.919047619345,0.918594104606,0.917913832227,0.924716553558,0.919501134057
LR: 0.0005 KP: 0.8,0.538321995789,0.708616780343,0.767573696415,0.790249433188,0.830385487555,0.826530612542,0.851247165803,0.85124716556,0.860090703218,0.868480725624,0.864625850367,0.876190476488,0.867573696145,0.891156462342,0.886848072319,0.878911564383,0.884353741497,0.89206349182,0.889115646015,0.885941043084,0.905215419501,0.898412698683,0.883446712045,0.89433106576,0.888888888916,0.898639455782,0.90022675764,0.900907029776,0.907482993468,0.903174603175,0.914739229295,0.904988662402,0.914058957186,0.913378684564,0.913378684807,0.911111111111,0.907709750324,0.912471655599,0.909070294541,0.915192744034,0.915192743791,0.907029478458,0.909297051911,0.914512471412,0.910204081903,0.911564625607,0.916553287982,0.919954648796,0.912698412698,0.914058956673,0.915419501431,0.913378684564,0.913605441934,0.911111111381,0.920861677761,0.918594104065,0.915192744034,0.924489796189,0.916553287739,0.924263038819,0.9213151925,0.924943310928,0.922448979862,0.925850340136,0.921541950384,0.921088435131,0.923582766467,0.918820861705,0.922448979349,0.929705215176,0.915419501161,0.922448979592,0.918820861948,0.914965986665,0.924489796189,0.920861678275,0.918594104579,0.919954648526,0.914512471655,0.930612244898,0.925850339893,0.925396825397,0.927664399363,0.929931972789,0.931519274133,0.929251700951,0.920408163319,0.92380952381,0.920634920905,0.924716553288,0.923809523566,0.925170068054,0.919954648283,0.920861678032,0.931065759908,0.925623583037,0.929931973059,0.921995465123,0.927210884624,0.927891156463
LR: 0.0005 KP: 0.9,0.632199546323,0.779365079716,0.820634920932,0.838095238122,0.862811791167,0.859410431109,0.886394557607,0.88639455758,0.880045351501,0.888888888646,0.886848072319,0.898866213152,0.897505668934,0.907482993468,0.895238094995,0.912244898229,0.894784580256,0.902040816597,0.90589569161,0.908390022676,0.899092970278,0.906349206106,0.919727891156,0.920634920662,0.91201814086,0.919954648283,0.916780045406,0.90385487504,0.904988662159,0.915192744034,0.921768707483,0.920861678275,0.922222221979,0.910430838759,0.908390022676,0.918820861948,0.902721088462,0.921541950384,0.921995464609,0.921541950113,0.921768707483,0.920181406166,0.917460317731,0.929931972816,0.923356009341,0.923129251728,0.920634920635,0.916099773243,0.914512471953,0.924943310928,0.921315192744,0.921995464853,0.925170068027,0.929251700951,0.933560090973,0.92970521542,0.921088435401,0.928798186211,0.919727891156,0.924489795918,0.925396825397,0.926303855173,0.914512471682,0.922675736961,0.923129251728,0.923129251728,0.929931972789,0.914965986395,0.928117913832,0.926077097776,0.934013605712,0.932879818351,0.930612244898,0.920861677788,0.917460317487,0.92947845805,0.929024943067,0.928344670959,0.931065759908,0.932199546512,0.928344671202,0.931746031773,0.927210884624,0.9176870751,0.932653061495,0.934013605442,0.924263038846,0.932879818891,0.922902494601,0.922448979349,0.927210884354,0.925623583064,0.929931972789,0.931519274376,0.921315193041,0.929478457807,0.919047619318,0.932653061279,0.943764172606,0.933560090703
