Parameter Description,Epoch 1,Epoch 2,Epoch 3,Epoch 4,Epoch 5,Epoch 6,Epoch 7,Epoch 8,Epoch 9,Epoch 10,Epoch 11,Epoch 12,Epoch 13,Epoch 14,Epoch 15,Epoch 16,Epoch 17,Epoch 18,Epoch 19,Epoch 20,Epoch 21,Epoch 22,Epoch 23,Epoch 24,Epoch 25,Epoch 26,Epoch 27,Epoch 28,Epoch 29,Epoch 30,Epoch 31,Epoch 32,Epoch 33,Epoch 34,Epoch 35,Epoch 36,Epoch 37,Epoch 38,Epoch 39,Epoch 40,Epoch 41,Epoch 42,Epoch 43,Epoch 44,Epoch 45,Epoch 46,Epoch 47,Epoch 48,Epoch 49,Epoch 50,Epoch 51,Epoch 52,Epoch 53,Epoch 54,Epoch 55,Epoch 56,Epoch 57,Epoch 58,Epoch 59,Epoch 60,Epoch 61,Epoch 62,Epoch 63,Epoch 64,Epoch 65,Epoch 66,Epoch 67,Epoch 68,Epoch 69,Epoch 70,Epoch 71,Epoch 72,Epoch 73,Epoch 74,Epoch 75,Epoch 76,Epoch 77,Epoch 78,Epoch 79,Epoch 80,Epoch 81,Epoch 82,Epoch 83,Epoch 84,Epoch 85,Epoch 86,Epoch 87,Epoch 88,Epoch 89,Epoch 90,Epoch 91,Epoch 92,Epoch 93,Epoch 94,Epoch 95,Epoch 96,Epoch 97,Epoch 98,Epoch 99,Epoch 100
LR: 0.001 KP: 0.5,0.355782312804,0.515873016251,0.596371881924,0.66553287944,0.70657596407,0.714285714151,0.752380952705,0.767120181784,0.779365079716,0.778458049995,0.788888888673,0.802947846129,0.805442177168,0.821541950438,0.812698412455,0.822448979619,0.826530612542,0.834240362623,0.831519274458,0.838095238122,0.836281179463,0.841950113162,0.844671201868,0.844444444769,0.841496598423,0.840136054449,0.849659863729,0.843083900524,0.856689342701,0.852154195336,0.85941043092,0.847165533258,0.841723356063,0.851927437669,0.869614512228,0.851247165317,0.84943310663,0.856689342187,0.861678004319,0.857142856954,0.858730158757,0.86530612253,0.868253968011,0.852607709778,0.858049886702,0.865532879629,0.861451247517,0.853968253779,0.867120181244,0.863718821159,0.8709750565,0.854648525834,0.876643991227,0.87097505696,0.86281179141,0.863265306177,0.862585033797,0.858730158784,0.86712018119,0.869614512309,0.870748299347,0.869614512742,0.875510203865,0.873922902278,0.874603174928,0.873696145449,0.870748299644,0.86167800486,0.87142857151,0.861678004832,0.874829932,0.867346938559,0.869160998057,0.883900226541,0.863038548564,0.858049886432,0.870748299401,0.875283447036,0.875963719145,0.884126984181,0.870068027508,0.877777778048,0.8727891157,0.872108843591,0.880725623853,0.876643990957,0.873922902521,0.875056689667,0.876417233641,0.870294784878,0.877777777859,0.874149659621,0.878004534904,0.871428571753,0.88480725602,0.88503401393,0.873696145206,0.879818594402,0.87845804967,0.881859410755
LR: 0.001 KP: 0.6,0.429251700815,0.60408163295,0.696371881951,0.731292516845,0.773922902278,0.791836734748,0.807482993251,0.827664399147,0.831292516818,0.837868481023,0.846712017897,0.860544217957,0.859637188506,0.862358276401,0.860544217714,0.870294784391,0.868253968011,0.875283446739,0.866893424063,0.882312924927,0.881179138079,0.885941042922,0.885260771272,0.880045351771,0.881859410728,0.889115646286,0.887981859194,0.891836734991,0.8961451245,0.897052154249,0.892743763929,0.89659863951,0.888888888673,0.881859410485,0.885487528399,0.889342403682,0.897732426601,0.903174603445,0.897959183971,0.900453515091,0.899773242928,0.900453514766,0.900226757153,0.912471655329,0.893197278939,0.901587301371,0.888435374447,0.890022675764,0.909297052208,0.907482993495,0.907709750567,0.905895691367,0.907256235584,0.909297051938,0.894104308147,0.906349206647,0.897959183701,0.908163265603,0.912471655599,0.905442176898,0.905442177141,0.904308389779,0.908390022487,0.917006802748,0.911337868751,0.899319728216,0.91564625853,0.902721088219,0.913378684591,0.906802720845,0.912018140346,0.911337868264,0.906349206349,0.909070295082,0.908163265306,0.911111111408,0.914965986151,0.913605442231,0.914739229079,0.904988662456,0.903628117941,0.905895691637,0.901133786875,0.911111111165,0.910884354012,0.911791383247,0.909070295082,0.906802720872,0.909070294839,0.893650793435,0.903174603202,0.912471655329,0.908390022432,0.897959183971,0.914512471953,0.91020408166,0.920408163022,0.903628117914,0.916099773513,0.90997732456
LR: 0.001 KP: 0.7,0.62040816313,0.749659863567,0.804988662483,0.829251700734,0.846938775537,0.853061224544,0.867800453596,0.876417233857,0.878231292841,0.889569161295,0.885260770759,0.900453515037,0.896598639753,0.888208616564,0.902947846075,0.903401360301,0.90022675764,0.89637188187,0.909070294839,0.909070294812,0.900453514793,0.900000000297,0.91020408193,0.90997732456,0.914512471655,0.910204081687,0.906349206647,0.907482993468,0.914285714367,0.916326530883,0.916326530639,0.912471655356,0.920861678302,0.909523809794,0.918140589596,0.929251700464,0.923129251728,0.922902494088,0.922448979376,0.914058956943,0.918820861975,0.917006802775,0.913832199574,0.916553288306,0.923582766467,0.919274376498,0.917233559874,0.923582766197,0.92176870751,0.926303855173,0.918820861705,0.919727891427,0.920408163292,0.92154194987,0.926530612029,0.923356009368,0.928117913616,0.929478458077,0.929931973113,0.924489796189,0.925170067811,0.930158729915,0.919274376174,0.936054421769,0.926077097262,0.926757369642,0.933560091,0.929931972816,0.926757369885,0.931292517277,0.924943310414,0.92766439939,0.92154194987,0.924716553315,0.924489795918,0.926984127038,0.92766439885,0.931065759421,0.929478458104,0.92789115649,0.923356009341,0.923582766737,0.932199546756,0.93900226733,0.92766439939,0.925396825397,0.933333333631,0.929931972546,0.928344671229,0.932426303612,0.924716553558,0.931292516791,0.935827664669,0.920861678032,0.928344670986,0.928798185968,0.934920634948,0.932653061522,0.92040816359,0.917006802505
LR: 0.001 KP: 0.8,0.662585033824,0.758503401442,0.819047619372,0.830158729942,0.867573696199,0.870294784391,0.869387754859,0.877097505966,0.886394558148,0.887755101852,0.893650793462,0.886621314976,0.894557822913,0.90385487531,0.90272108876,0.894784580283,0.901814059281,0.901587301885,0.904308389779,0.905442176898,0.907256235611,0.904535147446,0.909070295055,0.904761905032,0.914058957213,0.919274376444,0.914739228782,0.914512471412,0.921995465123,0.912925169825,0.916553287739,0.917233560118,0.913832199844,0.916780045622,0.914739228782,0.917913832227,0.902040816354,0.908163265631,0.914739229052,0.916326530883,0.914739229079,0.920408163076,0.920861678302,0.907709750594,0.922675737259,0.918594104065,0.919274376444,0.921995464609,0.929931973059,0.903401360301,0.911564625877,0.920634920635,0.925170068298,0.909070295055,0.917233560361,0.927891156733,0.926530612515,0.916099772999,0.923809523566,0.922675736988,0.919047619318,0.91564625826,0.916326530612,0.931065759908,0.912698412969,0.927437641994,0.934013605442,0.925170067784,0.92947845805,0.921315192771,0.929251700951,0.924036281179,0.924716553315,0.933786848073,0.925850340136,0.90589569188,0.926984127254,0.918367346695,0.925396825667,0.918367347236,0.919047619075,0.928571428598,0.93537414993,0.924489796189,0.922222222249,0.926757369669,0.919727891156,0.926984126984,0.929024943338,0.925396825397,0.928117913589,0.928344671229,0.931746031746,0.928344671472,0.930839002538,0.93310657572,0.909297052452,0.929024943311,0.928344671256,0.926077097533
LR: 0.001 KP: 0.9,0.736734693932,0.84739229006,0.860317460101,0.882539682837,0.893877551318,0.891836734451,0.905215419582,0.891156462639,0.905442177168,0.905895691637,0.903174603229,0.92018140622,0.896598639483,0.90997732456,0.924263038576,0.928344670959,0.911791383031,0.928571428355,0.926303854659,0.931292516764,0.932426303882,0.924716553342,0.930839002322,0.928798185968,0.940816326828,0.932426304125,0.91995464885,0.936507936292,0.933560090487,0.938321995762,0.939002267844,0.937641723113,0.939909296809,0.932653061522,0.933106575747,0.940589568918,0.939455782313,0.93945578234,0.932199546242,0.935600906786,0.936961451247,0.939682539953,0.922448979376,0.945804988932,0.934693877335,0.939002267601,0.931972789143,0.927664399363,0.930839002024,0.931972789143,0.937868480753,0.935374149417,0.934240363082,0.940362812089,0.92970521569,0.944897959211,0.946485260528,0.944217687345,0.944444444201,0.937641723113,0.944671202111,0.949886621072,0.934693877821,0.93356009046,0.93945578261,0.939229024943,0.947845805259,0.941043084171,0.951020408434,0.937414965743,0.93900226733,0.949206349477,0.948526077368,0.940362811548,0.940816326531,0.938095237852,0.946031745815,0.938548752618,0.944217687129,0.933786847856,0.937868480726,0.939909297322,0.939909297079,0.943310657867,0.943764172606,0.937641723383,0.942630385758,0.943083900038,0.94489795894,0.932879818351,0.93945578207,0.929478457807,0.934013605442,0.936281179165,0.937868480996,0.943537414723,0.943537414723,0.940136054449,0.946258503672,0.944897959481
